Column1,Method,NumSimulationScenario,Distribution,TravelCov,ScenarioCov,NewPatients,ActiveAides,TotalSolvingTime,AcceptedPatients,AllowedDelay,Overtime,AssignedServiceLevel/NumberStd,Scenario,ApproximationTCov,ApproximationSCov,AverageTotalLateness,AverageTotalOvertime,AverageRunLateness,AverageRunOvertime,MaximumTotalLateness,RealServiceLevel,MeanServiceLevel,MinServiceLevel,TotalAccpetedNewPatient,FractionOnTimeServedPatient,OnTimeNewPatient,OnTimeOldPatient,OnTimeTotalPatient,TotalScheduledPatient
46,EVT,10000,normal,0.25,0.1,35,20,1311.860447,60,1,3,2.05,0,0.25,0.1,0.2032,0.0055,0.2787,0.0151,30,"[(0, 0.9786), (1, 0.9987), (2, 0.9999), (3, 0.991), (4, 0.999), (5, 1.0), (6, 0.9989), (7, 0.9808), (8, 0.9884), (9, 0.9995), (10, 1.0), (11, 0.9974), (12, 0.9846), (15, 0.9973), (16, 0.9984), (17, 0.9911), (18, 0.9966), (19, 0.9802), (20, 0.9967), (24, 1.0), (25, 0.9994), (26, 0.9999), (27, 0.9896), (28, 0.9953), (29, 0.9899), (30, 0.9893), (31, 0.9905), (32, 0.9859), (33, 0.9985), (34, 1.0), (35, 0.9987), (36, 0.982), (37, 0.9904), (38, 0.9966), (39, 0.9936), (40, 0.9996), (41, 0.9999), (42, 0.9938), (43, 0.9943), (44, 1.0), (45, 0.9999), (46, 0.9941), (47, 0.9915), (48, 1.0), (49, 0.9915), (50, 0.9802), (51, 0.9963), (52, 0.983), (53, 0.986), (54, 0.9941), (55, 0.994), (56, 0.9985), (57, 0.9989), (58, 0.9862), (59, 1.0)]",0.993790909,0.9786,35,1,35,20,55,55
47,Scenario,10000,normal,0.25,0.1,25,20,1261.441134,60,1,3,0.98,100,0,0,0.5577,0.0639,0.4925,0.1773,25,"[(3, 0.9918), (4, 0.9739), (5, 1.0), (6, 1.0), (7, 0.9798), (11, 0.9265), (12, 0.9547), (15, 0.9998), (16, 1.0), (17, 0.9773), (18, 0.9802), (24, 0.9776), (25, 0.9995), (26, 1.0), (27, 0.9946), (28, 1.0), (29, 0.999), (30, 0.9967), (31, 0.9975), (32, 1.0), (33, 0.9634), (34, 0.9944), (35, 0.9339), (36, 0.9472), (37, 0.967), (38, 1.0), (39, 1.0), (40, 0.9981), (41, 0.9768), (42, 0.9511000000000001), (43, 0.9999), (44, 1.0), (45, 0.9796), (46, 1.0), (47, 0.9526), (48, 1.0), (49, 1.0), (50, 1.0), (51, 0.9912), (52, 0.9936), (53, 0.9798), (54, 0.9992), (55, 0.9557), (56, 0.9846), (57, 1.0), (58, 0.9713), (59, 0.9515)]",0.983825532,0.9265,25,0.744680851,17,18,35,47
48,Scenario,10000,normal,0.25,0.1,25,20,82.2183969,60,1,3,0.98,10,0,0,2.1239,0.0128,0.8704,0.0081,46,"[(3, 0.9095), (4, 0.999), (5, 1.0), (6, 1.0), (7, 1.0), (11, 0.992), (12, 0.9547), (15, 0.9571), (16, 0.9984), (19, 0.9468), (20, 0.9761), (30, 0.9988), (31, 0.9627), (32, 0.8859), (33, 0.9142), (34, 1.0), (35, 1.0), (36, 0.9991), (37, 0.9651), (38, 1.0), (39, 0.9563), (40, 0.991), (41, 0.7545), (42, 0.951), (43, 0.9083), (44, 0.9438), (45, 0.777), (46, 0.9626), (47, 0.9762), (48, 0.7847), (49, 0.9776), (50, 0.9775), (51, 0.9472), (52, 0.9757), (53, 0.9295), (54, 0.9313), (55, 0.9774), (56, 0.953), (57, 0.9987), (58, 0.9785), (59, 0.7626)]",0.948141463,0.7545,25,0.487804878,11,9,20,41
49,Deterministic ,10000,normal,0.25,0.1,25,20,31.90176201,60,1,3,0.98,0,0,0,25.6424,0.347,0.9995,0.1304,205,"[(0, 0.5565), (1, 0.8407), (2, 0.5045999999999999), (3, 0.6826), (4, 0.8260000000000001), (5, 1.0), (6, 1.0), (7, 0.6491), (11, 0.6482), (12, 0.9547), (13, 0.6442), (14, 1.0), (15, 1.0), (16, 0.9984), (30, 0.4565), (31, 0.6712), (34, 1.0), (35, 0.7478), (36, 0.6209), (37, 0.8819), (38, 0.8575), (39, 0.4142), (40, 0.5881000000000001), (41, 0.9773), (42, 0.5386), (43, 0.7475), (44, 1.0), (45, 0.6702), (46, 0.5919), (47, 0.6847), (48, 0.7599), (49, 0.8944), (50, 1.0), (51, 0.7865), (52, 0.9957), (53, 0.9802), (54, 0.753), (55, 0.5283), (56, 0.8004), (57, 0.8266), (58, 1.0), (59, 0.7904)]",0.782588095,0.4142,25,0.285714286,6,6,12,42
50,Scenario,10000,normal,0.25,0.1,20,20,157.889107,60,1,3,0.98,10,0,0,4.4415,0.0669,0.9665,0.1658,50,"[(6, 1.0), (7, 0.927), (11, 0.8261000000000001), (12, 0.9547), (15, 0.9922), (16, 0.9725), (17, 0.9567), (18, 0.9075), (19, 0.9426), (20, 0.9761), (24, 0.9946), (25, 1.0), (26, 0.949), (30, 0.9988), (31, 0.9627), (32, 0.7149), (33, 0.49639999999999995), (34, 1.0), (35, 1.0), (36, 0.9253), (40, 0.9555), (41, 0.948), (42, 0.8787), (43, 0.7784), (44, 0.997), (45, 0.49929999999999997), (46, 1.0), (47, 0.9762), (48, 0.9938), (49, 0.7794), (50, 0.9436), (51, 0.9369), (52, 0.9576), (53, 0.9302), (54, 0.9637), (55, 0.9559), (56, 0.9992), (57, 0.9987), (58, 0.7337), (59, 0.7904)]",0.9128325,0.4964,20,0.35,6,8,14,40
51,Deterministic ,10000,normal,0.25,0.1,20,20,35.95700383,60,1,3,0.98,0,0,0,19.2837,1.0534,0.9997,0.2166,118,"[(0, 0.9702), (1, 0.8407), (2, 0.7857000000000001), (3, 0.6716), (4, 0.8260000000000001), (5, 1.0), (6, 1.0), (7, 0.6579999999999999), (11, 0.6643), (12, 0.7616), (13, 0.5722), (14, 1.0), (15, 0.6615), (16, 0.9984), (30, 0.5166), (31, 0.6712), (32, 0.5971), (33, 0.7194), (34, 1.0), (35, 1.0), (36, 0.6612), (40, 0.5776), (41, 0.9776), (42, 0.4505), (43, 0.5439), (44, 0.7883), (45, 0.777), (46, 0.9997), (47, 0.9762), (48, 0.8396), (49, 0.8811), (50, 0.5774), (51, 0.753), (52, 1.0), (53, 0.8006), (54, 0.6481), (55, 0.7573), (56, 0.8509), (57, 1.0), (58, 0.6528), (59, 0.7626)]",0.785119512,0.4505,20,0.268292683,5,6,11,41
52,EVT,10000,normal,0.25,0.1,40,20,477.5315511,60,1,3,2.05,0,0.25,0.1,0.1875,0.0035,0.2874,0.0065,16,"[(0, 0.9867), (1, 0.9987), (2, 0.9928), (3, 0.9922), (4, 0.999), (5, 1.0), (6, 0.9984), (7, 0.9805), (8, 0.9884), (9, 0.9995), (10, 1.0), (11, 0.9987), (12, 0.996), (13, 0.9985), (14, 1.0), (15, 0.9974), (16, 0.9828), (19, 0.9897), (20, 0.9886), (21, 1.0), (22, 1.0), (23, 0.9978), (24, 0.9982), (25, 1.0), (26, 1.0), (27, 0.9832), (28, 1.0), (29, 0.9889), (30, 0.9909), (31, 1.0), (32, 0.9938), (33, 0.9909), (34, 0.999), (35, 0.9821), (36, 0.9882), (37, 0.9919), (38, 1.0), (39, 0.9948), (40, 0.9975), (41, 0.9947), (42, 0.9921), (43, 0.9926), (44, 0.993), (45, 0.9903), (46, 0.9941), (47, 0.9872), (48, 1.0), (49, 0.9807), (50, 0.9932), (51, 0.9967), (52, 0.9808), (53, 1.0), (54, 0.9827), (55, 0.9864), (56, 0.9886), (57, 0.9999), (58, 1.0), (59, 1.0)]",0.993760345,0.9805,40,1,40,18,58,58
53,Deterministic ,10000,normal,0.25,0.1,25,20,21.03747582,60,1,3,0.98,0,0,0,25.6424,0.347,0.9995,0.1304,205,"[(0, 0.5565), (1, 0.8407), (2, 0.5045999999999999), (3, 0.6826), (4, 0.8260000000000001), (5, 1.0), (6, 1.0), (7, 0.6491), (11, 0.6482), (12, 0.9547), (13, 0.6442), (14, 1.0), (15, 1.0), (16, 0.9984), (30, 0.4565), (31, 0.6712), (34, 1.0), (35, 0.7478), (36, 0.6209), (37, 0.8819), (38, 0.8575), (39, 0.4142), (40, 0.5881000000000001), (41, 0.9773), (42, 0.5386), (43, 0.7475), (44, 1.0), (45, 0.6702), (46, 0.5919), (47, 0.6847), (48, 0.7599), (49, 0.8944), (50, 1.0), (51, 0.7865), (52, 0.9957), (53, 0.9802), (54, 0.753), (55, 0.5283), (56, 0.8004), (57, 0.8266), (58, 1.0), (59, 0.7904)]",0.782588095,0.4142,25,0.285714286,6,6,12,42
54,Scenario,10000,normal,0.25,0.1,30,20,330.6776221,60,1,3,0.98,10,0,0,6.7284,0.0627,0.994,0.0588,81,"[(0, 0.9478), (1, 0.9798), (2, 0.9314), (3, 0.9095), (4, 0.999), (5, 1.0), (6, 1.0), (7, 0.9472), (11, 0.9902), (12, 0.9547), (15, 0.9741), (16, 0.9751), (17, 0.6957), (18, 0.9075), (19, 0.9468), (20, 0.9761), (24, 0.9946), (25, 1.0), (26, 0.949), (27, 0.9167), (28, 0.9137), (29, 0.8017), (30, 0.926), (31, 0.6755), (32, 0.9718), (33, 0.7402), (34, 0.9766), (35, 1.0), (36, 0.9803), (37, 0.8887), (38, 1.0), (39, 0.8327), (40, 0.95), (41, 0.8974), (42, 0.951), (43, 0.8803), (44, 0.9607), (45, 0.49929999999999997), (46, 0.8331), (47, 0.7717), (48, 0.49660000000000004), (49, 0.7942), (50, 0.8571), (51, 0.9472), (52, 0.9646), (53, 0.7382), (54, 0.9455), (55, 0.9563), (56, 0.953), (57, 0.9838), (58, 0.9998), (59, 0.9983)]",0.905394231,0.4966,30,0.307692308,7,9,16,52
55,Scenario,10000,normal,0.25,0.1,40,20,205.7212269,60,1,3,0.98,10,0,0,6.9264,0.1209,0.9896,0.1135,71,"[(0, 0.9478), (1, 0.9798), (2, 0.9314), (3, 1.0), (4, 0.999), (5, 1.0), (6, 1.0), (7, 0.9791), (11, 0.8261000000000001), (12, 0.9547), (13, 0.8466), (14, 0.8345), (15, 1.0), (16, 0.9984), (17, 0.6957), (18, 0.9075), (19, 0.9974), (20, 0.9938), (21, 0.8629), (22, 1.0), (23, 1.0), (24, 0.8492), (25, 0.9737), (26, 0.9758), (27, 0.9999), (28, 1.0), (29, 0.4497), (30, 0.9907), (31, 0.9905), (32, 0.9003), (33, 0.9142), (34, 0.9766), (35, 1.0), (36, 0.9803), (37, 0.9338), (38, 0.9085), (39, 0.9475), (40, 1.0), (41, 0.9748), (42, 0.8562), (43, 0.9083), (44, 0.9332), (45, 1.0), (46, 0.9507), (47, 0.49760000000000004), (48, 0.8061), (49, 0.9807), (50, 0.8046), (51, 0.9369), (52, 0.9842), (53, 0.9302), (54, 0.9455), (55, 0.8596), (56, 0.9052), (57, 0.9851), (58, 0.9099), (59, 1.0)]",0.924810526,0.4497,40,0.456140351,17,9,26,57
56,Scenario,10000,normal,0.25,0.1,35,20,238.0757039,60,1,3,0.98,10,0,0,5.9098,0.0133,0.9858,0.0147,70,"[(0, 0.9478), (1, 0.9798), (2, 0.9314), (3, 0.9946), (4, 0.999), (5, 1.0), (6, 1.0), (7, 0.9514), (8, 1.0), (9, 0.9436), (10, 1.0), (11, 0.992), (12, 0.9547), (13, 0.8466), (14, 0.8345), (15, 0.9571), (16, 0.9984), (17, 0.9573), (18, 0.9075), (24, 0.9757), (25, 1.0), (26, 1.0), (27, 0.9356), (28, 1.0), (29, 0.4497), (30, 0.9543), (31, 0.9563), (32, 0.9842), (33, 0.9906), (34, 0.9988), (35, 0.9941), (36, 0.9839), (37, 0.8359), (38, 0.9956), (39, 0.9448), (40, 1.0), (41, 0.7129), (42, 0.8542), (43, 0.7761), (44, 0.841), (45, 0.7965), (46, 0.8998), (47, 1.0), (48, 0.5109), (49, 0.8589), (50, 0.9873), (51, 1.0), (52, 0.9997), (53, 0.8639), (54, 0.9815), (55, 0.9774), (56, 0.9556), (57, 0.8266), (58, 0.9671), (59, 0.7626)]",0.92304,0.4497,35,0.472727273,16,10,26,55
57,EVT,10000,normal,0.25,0.1,30,20,1224.166641,60,1,3,2.05,0,0.25,0.1,0.1392,0.0071,0.2467,0.0188,25,"[(3, 0.9866), (4, 0.999), (5, 1.0), (6, 0.9953), (7, 0.9941), (11, 0.9835), (12, 0.9888), (15, 0.9971), (16, 0.9984), (17, 0.9911), (18, 0.9966), (27, 0.9924), (28, 0.997), (29, 0.9959), (30, 0.9911), (31, 0.9817), (32, 0.9896), (33, 0.997), (34, 0.9999), (35, 0.9953), (36, 0.9791), (37, 1.0), (38, 1.0), (39, 0.9995), (40, 0.9849), (41, 0.9929), (42, 0.9978), (43, 0.9926), (44, 0.9986), (45, 0.9891), (46, 0.996), (47, 1.0), (48, 1.0), (49, 0.9873), (50, 0.9874), (51, 0.9923), (52, 0.9803), (53, 0.9949), (54, 0.9925), (55, 0.9949), (56, 0.9948), (57, 0.9987), (58, 0.9862), (59, 0.9866)]",0.993109091,0.9791,30,1,30,14,44,44
58,EVT,10000,normal,0.25,0.1,25,20,447.4740679,60,1,3,2.05,0,0.25,0.1,0.1538,0.004,0.2397,0.0112,20,"[(0, 0.9867), (1, 0.9987), (2, 0.9928), (3, 0.991), (4, 0.999), (5, 1.0), (6, 1.0), (7, 0.9862), (11, 0.9946), (12, 0.9888), (15, 0.9955), (16, 0.998), (17, 0.9828), (18, 0.9966), (19, 0.9802), (20, 0.9967), (30, 0.984), (31, 0.9879), (34, 0.9848), (35, 0.9966), (36, 0.9943), (37, 0.9923), (38, 1.0), (39, 0.9948), (40, 0.9973), (41, 0.993), (42, 0.9874), (43, 0.999), (44, 1.0), (45, 0.983), (46, 0.9961), (47, 0.9959), (48, 0.9985), (49, 0.987), (50, 1.0), (51, 0.9912), (52, 0.983), (53, 1.0), (54, 0.9941), (55, 0.9901), (56, 0.9976), (57, 1.0), (58, 0.9939), (59, 1.0)]",0.993395455,0.9802,25,1,25,19,44,44
59,Deterministic ,10000,normal,0.25,0.1,20,20,35.47864509,60,1,3,0.98,0,0,0,19.2837,1.0534,0.9997,0.2166,118,"[(0, 0.9702), (1, 0.8407), (2, 0.7857000000000001), (3, 0.6716), (4, 0.8260000000000001), (5, 1.0), (6, 1.0), (7, 0.6579999999999999), (11, 0.6643), (12, 0.7616), (13, 0.5722), (14, 1.0), (15, 0.6615), (16, 0.9984), (30, 0.5166), (31, 0.6712), (32, 0.5971), (33, 0.7194), (34, 1.0), (35, 1.0), (36, 0.6612), (40, 0.5776), (41, 0.9776), (42, 0.4505), (43, 0.5439), (44, 0.7883), (45, 0.777), (46, 0.9997), (47, 0.9762), (48, 0.8396), (49, 0.8811), (50, 0.5774), (51, 0.753), (52, 1.0), (53, 0.8006), (54, 0.6481), (55, 0.7573), (56, 0.8509), (57, 1.0), (58, 0.6528), (59, 0.7626)]",0.785119512,0.4505,20,0.268292683,5,6,11,41
60,Scenario,10000,normal,0.25,0.1,20,20,982.967665,60,1,3,0.98,100,0,0,0.53,0.0205,0.4759,0.129,40,"[(3, 1.0), (4, 0.9739), (5, 1.0), (6, 1.0), (7, 0.9887), (11, 0.9679), (12, 0.9547), (15, 1.0), (16, 0.998), (30, 1.0), (31, 1.0), (32, 1.0), (33, 0.9634), (34, 1.0), (35, 0.9993), (36, 0.9999), (40, 0.9591), (41, 1.0), (42, 0.9935), (43, 0.9369), (44, 0.903), (45, 0.9796), (46, 1.0), (47, 0.9526), (48, 0.9985), (49, 0.987), (50, 0.9742), (51, 0.9912), (52, 0.9939), (53, 0.955), (54, 0.953), (55, 0.996), (56, 0.9346), (57, 1.0), (58, 0.9803), (59, 0.9781)]",0.980897222,0.903,20,0.666666667,12,12,24,36
61,Scenario,10000,normal,0.25,0.1,35,20,240.122138,60,1,3,0.98,10,0,0,5.9098,0.0133,0.9858,0.0147,70,"[(0, 0.9478), (1, 0.9798), (2, 0.9314), (3, 0.9946), (4, 0.999), (5, 1.0), (6, 1.0), (7, 0.9514), (8, 1.0), (9, 0.9436), (10, 1.0), (11, 0.992), (12, 0.9547), (13, 0.8466), (14, 0.8345), (15, 0.9571), (16, 0.9984), (17, 0.9573), (18, 0.9075), (24, 0.9757), (25, 1.0), (26, 1.0), (27, 0.9356), (28, 1.0), (29, 0.4497), (30, 0.9543), (31, 0.9563), (32, 0.9842), (33, 0.9906), (34, 0.9988), (35, 0.9941), (36, 0.9839), (37, 0.8359), (38, 0.9956), (39, 0.9448), (40, 1.0), (41, 0.7129), (42, 0.8542), (43, 0.7761), (44, 0.841), (45, 0.7965), (46, 0.8998), (47, 1.0), (48, 0.5109), (49, 0.8589), (50, 0.9873), (51, 1.0), (52, 0.9997), (53, 0.8639), (54, 0.9815), (55, 0.9774), (56, 0.9556), (57, 0.8266), (58, 0.9671), (59, 0.7626)]",0.92304,0.4497,35,0.472727273,16,10,26,55
62,EVT,10000,normal,0.25,0.1,35,20,1236.744602,60,1,3,2.05,0,0.25,0.1,0.2032,0.0055,0.2787,0.0151,30,"[(0, 0.9786), (1, 0.9987), (2, 0.9999), (3, 0.991), (4, 0.999), (5, 1.0), (6, 0.9989), (7, 0.9808), (8, 0.9884), (9, 0.9995), (10, 1.0), (11, 0.9974), (12, 0.9846), (15, 0.9973), (16, 0.9984), (17, 0.9911), (18, 0.9966), (19, 0.9802), (20, 0.9967), (24, 1.0), (25, 0.9994), (26, 0.9999), (27, 0.9896), (28, 0.9953), (29, 0.9899), (30, 0.9893), (31, 0.9905), (32, 0.9859), (33, 0.9985), (34, 1.0), (35, 0.9987), (36, 0.982), (37, 0.9904), (38, 0.9966), (39, 0.9936), (40, 0.9996), (41, 0.9999), (42, 0.9938), (43, 0.9943), (44, 1.0), (45, 0.9999), (46, 0.9941), (47, 0.9915), (48, 1.0), (49, 0.9915), (50, 0.9802), (51, 0.9963), (52, 0.983), (53, 0.986), (54, 0.9941), (55, 0.994), (56, 0.9985), (57, 0.9989), (58, 0.9862), (59, 1.0)]",0.993790909,0.9786,35,1,35,20,55,55
63,Deterministic ,10000,normal,0.25,0.1,20,20,49.46187401,60,1,3,0.98,0,0,0,19.2837,1.0534,0.9997,0.2166,118,"[(0, 0.9702), (1, 0.8407), (2, 0.7857000000000001), (3, 0.6716), (4, 0.8260000000000001), (5, 1.0), (6, 1.0), (7, 0.6579999999999999), (11, 0.6643), (12, 0.7616), (13, 0.5722), (14, 1.0), (15, 0.6615), (16, 0.9984), (30, 0.5166), (31, 0.6712), (32, 0.5971), (33, 0.7194), (34, 1.0), (35, 1.0), (36, 0.6612), (40, 0.5776), (41, 0.9776), (42, 0.4505), (43, 0.5439), (44, 0.7883), (45, 0.777), (46, 0.9997), (47, 0.9762), (48, 0.8396), (49, 0.8811), (50, 0.5774), (51, 0.753), (52, 1.0), (53, 0.8006), (54, 0.6481), (55, 0.7573), (56, 0.8509), (57, 1.0), (58, 0.6528), (59, 0.7626)]",0.785119512,0.4505,20,0.268292683,5,6,11,41
64,Scenario,10000,normal,0.25,0.1,40,20,207.6499848,60,1,3,0.98,10,0,0,6.9264,0.1209,0.9896,0.1135,71,"[(0, 0.9478), (1, 0.9798), (2, 0.9314), (3, 1.0), (4, 0.999), (5, 1.0), (6, 1.0), (7, 0.9791), (11, 0.8261000000000001), (12, 0.9547), (13, 0.8466), (14, 0.8345), (15, 1.0), (16, 0.9984), (17, 0.6957), (18, 0.9075), (19, 0.9974), (20, 0.9938), (21, 0.8629), (22, 1.0), (23, 1.0), (24, 0.8492), (25, 0.9737), (26, 0.9758), (27, 0.9999), (28, 1.0), (29, 0.4497), (30, 0.9907), (31, 0.9905), (32, 0.9003), (33, 0.9142), (34, 0.9766), (35, 1.0), (36, 0.9803), (37, 0.9338), (38, 0.9085), (39, 0.9475), (40, 1.0), (41, 0.9748), (42, 0.8562), (43, 0.9083), (44, 0.9332), (45, 1.0), (46, 0.9507), (47, 0.49760000000000004), (48, 0.8061), (49, 0.9807), (50, 0.8046), (51, 0.9369), (52, 0.9842), (53, 0.9302), (54, 0.9455), (55, 0.8596), (56, 0.9052), (57, 0.9851), (58, 0.9099), (59, 1.0)]",0.924810526,0.4497,40,0.456140351,17,9,26,57
65,EVT,10000,normal,0.25,0.1,25,20,419.987062,60,1,3,2.05,0,0.25,0.1,0.1538,0.004,0.2397,0.0112,20,"[(0, 0.9867), (1, 0.9987), (2, 0.9928), (3, 0.991), (4, 0.999), (5, 1.0), (6, 1.0), (7, 0.9862), (11, 0.9946), (12, 0.9888), (15, 0.9955), (16, 0.998), (17, 0.9828), (18, 0.9966), (19, 0.9802), (20, 0.9967), (30, 0.984), (31, 0.9879), (34, 0.9848), (35, 0.9966), (36, 0.9943), (37, 0.9923), (38, 1.0), (39, 0.9948), (40, 0.9973), (41, 0.993), (42, 0.9874), (43, 0.999), (44, 1.0), (45, 0.983), (46, 0.9961), (47, 0.9959), (48, 0.9985), (49, 0.987), (50, 1.0), (51, 0.9912), (52, 0.983), (53, 1.0), (54, 0.9941), (55, 0.9901), (56, 0.9976), (57, 1.0), (58, 0.9939), (59, 1.0)]",0.993395455,0.9802,25,1,25,19,44,44
66,Scenario,10000,normal,0.25,0.1,40,20,6270.446335,60,1,3,0.98,100,0,0,0.5676,0.103,0.4573,0.1468,35,"[(0, 0.9712), (1, 0.9987), (2, 0.9844), (3, 1.0), (4, 0.9993), (5, 1.0), (6, 0.9757), (7, 0.9712), (11, 1.0), (12, 0.998), (15, 0.9956), (16, 1.0), (17, 0.9773), (18, 0.9802), (19, 0.9937), (20, 1.0), (21, 0.9872), (22, 0.9994), (23, 0.9518), (24, 0.9931), (25, 1.0), (26, 0.999), (27, 0.9854), (28, 1.0), (29, 1.0), (30, 0.9712), (31, 1.0), (32, 1.0), (33, 0.9459), (34, 1.0), (35, 0.9986), (36, 0.9472), (37, 0.9936), (38, 1.0), (39, 0.9746), (40, 0.991), (41, 1.0), (42, 0.9878), (43, 1.0), (44, 0.9916), (45, 0.902), (46, 0.9811), (47, 1.0), (48, 1.0), (49, 1.0), (50, 0.969), (51, 0.9912), (52, 1.0), (53, 0.9855), (54, 1.0), (55, 0.9683), (56, 0.9975), (57, 1.0), (58, 0.9997), (59, 1.0)]",0.988309091,0.902,40,0.818181818,32,13,45,55
67,Scenario,10000,normal,0.25,0.1,30,20,322.250936,60,1,3,0.98,10,0,0,6.7284,0.0627,0.994,0.0588,81,"[(0, 0.9478), (1, 0.9798), (2, 0.9314), (3, 0.9095), (4, 0.999), (5, 1.0), (6, 1.0), (7, 0.9472), (11, 0.9902), (12, 0.9547), (15, 0.9741), (16, 0.9751), (17, 0.6957), (18, 0.9075), (19, 0.9468), (20, 0.9761), (24, 0.9946), (25, 1.0), (26, 0.949), (27, 0.9167), (28, 0.9137), (29, 0.8017), (30, 0.926), (31, 0.6755), (32, 0.9718), (33, 0.7402), (34, 0.9766), (35, 1.0), (36, 0.9803), (37, 0.8887), (38, 1.0), (39, 0.8327), (40, 0.95), (41, 0.8974), (42, 0.951), (43, 0.8803), (44, 0.9607), (45, 0.49929999999999997), (46, 0.8331), (47, 0.7717), (48, 0.49660000000000004), (49, 0.7942), (50, 0.8571), (51, 0.9472), (52, 0.9646), (53, 0.7382), (54, 0.9455), (55, 0.9563), (56, 0.953), (57, 0.9838), (58, 0.9998), (59, 0.9983)]",0.905394231,0.4966,30,0.307692308,7,9,16,52
68,EVT,10000,normal,0.25,0.1,30,20,1156.589228,60,1,3,2.05,0,0.25,0.1,0.1392,0.0071,0.2467,0.0188,25,"[(3, 0.9866), (4, 0.999), (5, 1.0), (6, 0.9953), (7, 0.9941), (11, 0.9835), (12, 0.9888), (15, 0.9971), (16, 0.9984), (17, 0.9911), (18, 0.9966), (27, 0.9924), (28, 0.997), (29, 0.9959), (30, 0.9911), (31, 0.9817), (32, 0.9896), (33, 0.997), (34, 0.9999), (35, 0.9953), (36, 0.9791), (37, 1.0), (38, 1.0), (39, 0.9995), (40, 0.9849), (41, 0.9929), (42, 0.9978), (43, 0.9926), (44, 0.9986), (45, 0.9891), (46, 0.996), (47, 1.0), (48, 1.0), (49, 0.9873), (50, 0.9874), (51, 0.9923), (52, 0.9803), (53, 0.9949), (54, 0.9925), (55, 0.9949), (56, 0.9948), (57, 0.9987), (58, 0.9862), (59, 0.9866)]",0.993109091,0.9791,30,1,30,14,44,44
69,Scenario,10000,normal,0.25,0.1,30,20,4341.714018,60,1,3,0.98,100,0,0,0.6964,0.1285,0.455,0.18,35,"[(0, 0.9712), (1, 0.9987), (2, 0.9844), (3, 1.0), (4, 0.9993), (5, 1.0), (6, 0.9594), (7, 1.0), (11, 0.9754), (12, 0.9906), (15, 0.9985), (16, 0.9984), (17, 0.9978), (18, 0.9802), (19, 0.9613), (20, 0.9967), (24, 0.9816), (25, 0.9995), (26, 1.0), (30, 0.9721), (31, 1.0), (32, 0.9972), (33, 1.0), (34, 0.9993), (35, 0.9771), (36, 0.9911), (37, 0.9996), (38, 1.0), (39, 0.9746), (40, 0.9678), (41, 0.9768), (42, 1.0), (43, 0.9761), (44, 0.9607), (45, 0.9943), (46, 0.9919), (47, 1.0), (48, 1.0), (49, 1.0), (50, 1.0), (51, 0.9912), (52, 0.9942), (53, 0.9955), (54, 0.8983), (55, 0.947), (56, 0.9735), (57, 0.992), (58, 1.0), (59, 0.9983)]",0.986971429,0.8983,30,0.795918367,23,16,39,49
70,Deterministic ,10000,normal,0.25,0.1,20,20,37.30671501,60,1,3,0.98,0,0,0,19.2837,1.0534,0.9997,0.2166,118,"[(0, 0.9702), (1, 0.8407), (2, 0.7857000000000001), (3, 0.6716), (4, 0.8260000000000001), (5, 1.0), (6, 1.0), (7, 0.6579999999999999), (11, 0.6643), (12, 0.7616), (13, 0.5722), (14, 1.0), (15, 0.6615), (16, 0.9984), (30, 0.5166), (31, 0.6712), (32, 0.5971), (33, 0.7194), (34, 1.0), (35, 1.0), (36, 0.6612), (40, 0.5776), (41, 0.9776), (42, 0.4505), (43, 0.5439), (44, 0.7883), (45, 0.777), (46, 0.9997), (47, 0.9762), (48, 0.8396), (49, 0.8811), (50, 0.5774), (51, 0.753), (52, 1.0), (53, 0.8006), (54, 0.6481), (55, 0.7573), (56, 0.8509), (57, 1.0), (58, 0.6528), (59, 0.7626)]",0.785119512,0.4505,20,0.268292683,5,6,11,41
71,Scenario,10000,normal,0.25,0.1,30,20,326.1717021,60,1,3,0.98,10,0,0,6.7284,0.0627,0.994,0.0588,81,"[(0, 0.9478), (1, 0.9798), (2, 0.9314), (3, 0.9095), (4, 0.999), (5, 1.0), (6, 1.0), (7, 0.9472), (11, 0.9902), (12, 0.9547), (15, 0.9741), (16, 0.9751), (17, 0.6957), (18, 0.9075), (19, 0.9468), (20, 0.9761), (24, 0.9946), (25, 1.0), (26, 0.949), (27, 0.9167), (28, 0.9137), (29, 0.8017), (30, 0.926), (31, 0.6755), (32, 0.9718), (33, 0.7402), (34, 0.9766), (35, 1.0), (36, 0.9803), (37, 0.8887), (38, 1.0), (39, 0.8327), (40, 0.95), (41, 0.8974), (42, 0.951), (43, 0.8803), (44, 0.9607), (45, 0.49929999999999997), (46, 0.8331), (47, 0.7717), (48, 0.49660000000000004), (49, 0.7942), (50, 0.8571), (51, 0.9472), (52, 0.9646), (53, 0.7382), (54, 0.9455), (55, 0.9563), (56, 0.953), (57, 0.9838), (58, 0.9998), (59, 0.9983)]",0.905394231,0.4966,30,0.307692308,7,9,16,52
